strain_name	domestic_wild	pubmed_id
A/chicken/Xinjiang/78/2005	domestic	20538856
A/duck/Anhui/1/2006	domestic	20538856
A/duck/Anhui/56/2005	domestic	20538856
A/duck/Guangdong/23/2004	domestic	20538856
A/duck/Hubei/49/2005	domestic	20538856
A/duck/Hunan/11/2007	domestic	20538856
A/duck/Hunan/29/2006	domestic	20538856
A/duck/Hunan/69/2004	domestic	20538856
A/duck/Hunan/70/2004	domestic	20538856
A/duck/Jiangxi/80/2005	domestic	20538856
A/duck/Yunnan/47/2006	domestic	20538856
A/goose/Guangdong/72/2004	domestic	20538856
A/goose/Hubei/65/2005	domestic	20538856

A/buzzard/Denmark/6370/2006	wild	17498292
A/fowl/Denmark/60296/2006	domestic	17498292
A/greatcrestedgrebe/Denmark/7498/2006	wild	17498292
A/greylaggoose/Denmark/6692/2006	wild	17498292
A/peacock/Denmark/60295/2006	wild	17498292
A/peregrine/Denmark/6632/2006	wild	17498292
A/tuftedduck/Denmark/6431/2006	wild	17498292
A/tuftedduck/Denmark/6540/2006	wild	17498292
A/whooperswan/Denmark/7224/2006	wild	17498292
A/whooperswan/Denmark/7275/2006	wild	17498292

A/goose/Hungary/14756/2006	domestic	19520524
